T,T1,code,name,boards_T,theme,fb,amount_yi,yizi,open_pct_T1,touched,sealed,zhaban,cont,dead_h,down_h
2025-10-10,2025-10-13,603011,合锻智能,3,核电,2,1.3,True,5.13,True,True,False,True,4,3
2025-10-14,2025-10-15,000969,安泰科技,4,稀土永磁,0,13.1,False,0.71,False,False,False,False,4,4
2025-10-14,2025-10-15,600078,澄星股份,4,固态电池,0,0.73,True,9.07,True,False,True,False,4,4
2025-10-15,2025-10-16,000626,远大控股,2,食品饮料,0,3.03,False,10.05,True,True,False,True,4,2
2025-10-15,2025-10-16,002942,新农股份,2,化工,0,3.09,False,0.04,True,True,False,True,4,2
2025-10-15,2025-10-16,600403,大有能源,2,煤炭,0,4.22,False,1.65,True,True,False,True,4,2
2025-10-15,2025-10-16,600617,国新能源,2,天然气,0,2.4,False,7.57,False,False,False,False,4,2
2025-10-15,2025-10-16,600819,耀皮玻璃,2,光伏,2,2.7,False,1.77,False,False,False,False,4,2
2025-10-16,2025-10-17,000626,远大控股,3,食品饮料,0,5.37,False,5.3,True,True,False,True,3,3
2025-10-16,2025-10-17,600403,大有能源,3,煤炭,2,8.7,False,8.33,True,True,False,True,3,3
2025-10-24,2025-10-27,000620,盈新发展,5,并购重组,0,0.36,True,9.85,True,True,False,True,8,5
2025-10-29,2025-10-30,000592,平潭发展,5,福建,0,1.29,True,0.33,True,False,True,False,7,5
2025-10-30,2025-10-31,002790,瑞尔特,3,福建,3,1.04,True,9.97,True,True,False,True,5,3
2025-10-30,2025-10-31,603122,合富中国,3,医药零售,0,7.01,False,7.42,True,True,False,True,5,3
2025-10-31,2025-11-03,603122,合富中国,4,医药,7,4.79,False,10.01,True,True,False,True,5,4
2025-11-10,2025-11-11,002083,孚日股份,3,锂电池,7,1.56,True,10.39,True,True,False,True,9,3
2025-11-10,2025-11-11,300437,清水源,3,化工,3,13.46,False,-1.53,False,False,False,False,9,3
