F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
1,-0.5,99.0,5.0,251,146,113,33,0.773972602739726,0.22602739726027396,0.7514970059880239,0.43824701195219123
3,1.0,99.0,5.0,225,128,99,29,0.7734375,0.2265625,0.6736526946107785,0.4266666666666667
2,0.0,99.0,3.0,234,132,102,30,0.7727272727272727,0.22727272727272727,0.7005988023952096,0.42735042735042733
2,0.0,99.0,7.0,254,145,112,33,0.7724137931034483,0.22758620689655173,0.7604790419161677,0.42913385826771655
3,0.0,99.0,3.0,230,123,95,28,0.7723577235772358,0.22764227642276422,0.688622754491018,0.4043478260869565
3,-0.5,99.0,8.0,272,149,115,34,0.7718120805369127,0.22818791946308725,0.8143712574850299,0.4117647058823529
5,0.5,99.0,7.0,243,127,98,29,0.7716535433070866,0.2283464566929134,0.7275449101796407,0.3950617283950617
5,-0.5,99.0,8.0,269,140,108,32,0.7714285714285715,0.22857142857142856,0.8053892215568862,0.3940520446096654
5,0.0,99.0,5.0,237,118,91,27,0.7711864406779662,0.2288135593220339,0.7095808383233533,0.3755274261603376
4,0.5,99.0,7.0,244,131,101,30,0.7709923664122137,0.22900763358778625,0.7305389221556886,0.4016393442622951
2,0.0,99.0,6.0,251,144,111,33,0.7708333333333334,0.22916666666666666,0.7514970059880239,0.4302788844621514
1,0.5,9.8,8.0,181,100,77,23,0.77,0.23,0.5419161676646707,0.4088397790055249
5,1.0,99.0,7.0,239,126,97,29,0.7698412698412699,0.23015873015873015,0.7155688622754491,0.39748953974895396
4,0.0,99.0,8.0,266,143,110,33,0.7692307692307693,0.23076923076923078,0.7964071856287425,0.40225563909774437
4,1.0,99.0,7.0,238,130,100,30,0.7692307692307693,0.23076923076923078,0.7125748502994012,0.40756302521008403
3,0.5,5.0,8.0,181,82,63,19,0.7682926829268293,0.23170731707317074,0.5419161676646707,0.3425414364640884
4,0.5,99.0,6.0,239,129,99,30,0.7674418604651163,0.23255813953488372,0.7155688622754491,0.401673640167364
