T,T1,code,name,theme,boards,rank,fb,yizi,amt,is_anchor,down_h,anchor_type,seal_rank_theme,first_seal_sec,cont,score,prob
2026-01-26,2026-01-27,002506,协鑫集成,光伏,2,11,1,0,13.58,0,2,anchor_nat_yizi,2,-300,0,27.93,0.2793
2026-01-26,2026-01-27,600986,浙文互联,人工智能,2,7,2,0,63.67,0,2,anchor_nat_yizi,1,-244,0,27.86,0.2786
2026-01-26,2026-01-27,002667,威领股份,锂电池,2,19,0,0,2.43,0,2,anchor_nat_yizi,1,177,0,27.33,0.2733
2026-01-26,2026-01-27,688323,瑞华泰,商业航天,2,7,2,0,8.31,0,2,anchor_nat_yizi,1,636,0,26.75,0.2675
2026-01-26,2026-01-27,003042,中农联合,农业,2,19,0,0,5.65,0,2,anchor_nat_yizi,1,858,1,26.48,0.2648
2026-01-26,2026-01-27,000630,铜陵有色,黄金,2,1,9,0,82.57,0,2,anchor_nat_yizi,6,2952,0,23.97,0.2397
2026-07-01,2026-07-02,002929,润建股份,算力,2,6,5,0,29.19,0,2,anchor_nat_yizi,1,12621,0,23.78,0.2378
2026-07-01,2026-07-02,603212,赛伍技术,光伏,2,23,1,0,4.92,0,2,anchor_nat_yizi,1,12722,0,23.66,0.2366
2025-11-28,2025-12-01,603933,睿能科技,海峡两岸,2,2,6,0,7.58,0,2,anchor_nat_yizi,1,12615,1,23.06,0.2306
2026-03-02,2026-03-03,603738,泰晶科技,元器件,2,10,1,0,17.07,0,2,anchor_nat_yizi,1,12966,0,22.67,0.2267
2026-05-26,2026-05-27,003036,泰坦股份,通信,2,3,3,0,11.04,0,2,anchor_nat_yizi,2,13311,0,22.29,0.2229
2025-12-12,2025-12-15,603929,亚翔集成,芯片,2,4,6,0,7.07,0,2,anchor_nat_yizi,1,12947,0,22.0,0.22
2026-06-24,2026-06-25,002167,东方锆业,非金属材料,4,10,1,0,61.79,0,4,anchor_nat_yizi,3,12939,0,22.0,0.22
2026-07-08,2026-07-09,001365,天海电子,机器人概念,2,4,2,0,9.73,0,2,anchor_nat_yizi,1,13044,0,21.89,0.2189
2026-07-03,2026-07-06,605189,富春染织,机器人概念,3,1,41,0,3.56,0,3,anchor_nat_yizi,2,13704,0,21.86,0.2186
2026-03-31,2026-04-01,301008,宏昌科技,两轮车,2,5,3,0,11.59,0,2,anchor_two,1,13341,0,21.57,0.2157
2026-02-06,2026-02-09,002506,协鑫集成,光伏,3,6,3,0,74.98,0,3,anchor_reorg,1,15756,1,21.47,0.2147
2026-06-03,2026-06-04,600121,郑州煤电,煤炭,3,24,0,0,15.42,0,3,anchor_nat_yizi,2,17371,0,21.47,0.2147
2026-06-30,2026-07-01,000017,深中华A,黄金,2,31,0,0,1.8,0,2,anchor_two,1,15243,0,21.47,0.2147
2026-06-30,2026-07-01,000566,海南海药,医药,2,15,1,0,8.94,0,2,anchor_two,2,18699,1,21.47,0.2147
2026-06-30,2026-07-01,603459,红板科技,通信,2,3,9,0,33.37,0,2,anchor_two,1,16353,0,21.47,0.2147
2026-07-14,2026-07-15,002379,宏桥控股,中报增长,2,1,24,0,18.28,0,2,anchor_reorg,1,15891,0,21.47,0.2147
2026-03-12,2026-03-13,601868,中国能建,智能电网,2,4,3,0,174.58,1,2,anchor_two,1,14602,0,20.9,0.209
2026-02-12,2026-02-13,605287,德才股份,AI应用,4,11,1,0,18.01,0,4,anchor_nat_yizi,2,16950,0,20.8,0.208
2026-02-25,2026-02-26,600397,江钨装备,有色金属,2,2,8,0,30.36,0,2,anchor_nat_yizi,1,15921,0,20.8,0.208
2026-03-02,2026-03-03,000960,锡业股份,有色金属,2,7,2,0,61.9,0,2,anchor_nat_yizi,5,15387,0,20.8,0.208
2026-03-02,2026-03-03,002155,湖南黄金,黄金,2,4,5,0,107.3,0,2,anchor_nat_yizi,1,17391,0,20.8,0.208
2026-03-02,2026-03-03,600259,中稀有色,稀土永磁,2,19,0,0,30.76,0,2,anchor_nat_yizi,2,19046,0,20.8,0.208
2026-03-16,2026-03-17,603248,锡华科技,风电,2,10,1,0,11.8,0,2,anchor_two,1,18981,1,20.8,0.208
2026-05-20,2026-05-21,605288,凯迪股份,机器人概念,2,2,4,0,4.81,0,2,anchor_two,1,17617,0,20.8,0.208
2026-05-26,2026-05-27,600584,长电科技,芯片,2,7,2,0,287.85,0,2,anchor_nat_yizi,3,18856,0,20.8,0.208
2026-06-15,2026-06-16,001359,平安电工,化工,2,7,4,0,6.53,0,2,anchor_reorg,1,15321,0,20.8,0.208
2025-12-12,2025-12-15,600865,百大集团,零售,2,20,0,0,6.69,0,2,anchor_nat_yizi,1,14561,1,20.29,0.2029
2026-03-11,2026-03-12,600726,华电能源,电力,2,8,1,0,13.02,0,2,anchor_two,2,16429,1,20.15,0.2015
2026-05-12,2026-05-13,600683,京投发展,并购重组,3,9,1,0,16.64,0,3,anchor_nat_yizi,1,14751,0,20.15,0.2015
2026-06-01,2026-06-02,600011,华能国际,电力,2,19,1,0,66.15,0,2,anchor_nat_yizi,5,19575,0,20.15,0.2015
2026-07-08,2026-07-09,002951,金时科技,元器件,2,20,0,0,4.07,0,2,anchor_nat_yizi,1,15543,0,20.15,0.2015
2026-07-17,2026-07-20,600162,香江控股,算力,3,13,0,0,11.16,0,3,anchor_nat_yizi,1,17841,0,20.15,0.2015
2026-06-29,2026-06-30,688432,有研硅,光伏,2,34,0,0,32.94,0,2,anchor_two,1,14480,0,19.73,0.1973
2025-11-10,2025-11-11,300437,清水源,化工,3,6,3,0,13.46,0,3,anchor_nat_yizi,3,19596,0,17.68,0.1768
