T,T1,code,name,theme,boards,rank,fb,yizi,amt,is_anchor,down_h,anchor_type,seal_rank_theme,first_seal_sec,cont,score,prob
2026-05-26,2026-05-27,000509,华塑控股,新型工业化,2,17,0,0,3.73,0,2,anchor_nat_yizi,1,54,1,39.95,0.3995
2026-04-22,2026-04-23,003018,金富科技,算力,4,4,4,0,10.36,0,4,anchor_nat_yizi,1,63,0,39.94,0.3994
2026-02-25,2026-02-26,000636,风华高科,元器件,2,21,0,0,44.42,0,2,anchor_nat_yizi,1,72,0,39.93,0.3993
2025-12-01,2025-12-02,603933,睿能科技,存储,3,6,1,0,3.09,0,3,anchor_nat_yizi,1,74,1,39.92,0.3992
2025-10-15,2025-10-16,600617,国新能源,天然气,2,23,0,0,2.4,0,2,anchor_reorg,1,81,0,39.91,0.3991
2026-03-16,2026-03-17,600227,赤天化,化工,2,4,2,0,20.9,1,2,anchor_two,2,90,1,39.9,0.399
2026-02-04,2026-02-05,000533,顺钠股份,智能电网,3,5,3,0,10.43,0,3,anchor_reorg,1,93,0,39.89,0.3989
2026-07-29,2026-07-30,001358,兴欣新材,芯片,3,9,2,0,3.18,0,3,anchor_nat_yizi,1,111,0,39.87,0.3987
2026-02-05,2026-02-06,600683,京投发展,地产链,3,22,0,0,4.46,0,3,anchor_reorg,1,132,0,39.84,0.3984
2026-03-02,2026-03-03,603318,水发燃气,天然气,2,7,2,0,6.88,0,2,anchor_nat_yizi,1,129,1,39.84,0.3984
2026-03-02,2026-03-03,600498,烽火通信,通信,2,4,5,0,19.84,0,2,anchor_nat_yizi,1,149,0,39.81,0.3981
2026-05-21,2026-05-22,000518,四环生物,ST摘帽,2,8,1,0,6.65,0,2,anchor_reorg,1,177,1,39.77,0.3977
2025-12-22,2025-12-23,002788,鹭燕医药,医药,4,22,0,0,17.02,0,4,anchor_reorg,1,180,1,39.76,0.3976
2025-10-15,2025-10-16,600819,耀皮玻璃,光伏,2,7,2,0,2.7,0,2,anchor_reorg,1,185,0,39.75,0.3975
2025-10-16,2025-10-17,000626,远大控股,食品饮料,3,17,0,0,5.37,0,3,anchor_reorg,1,825,1,39.74,0.3974
2026-04-01,2026-04-02,002560,通达股份,年报增长,2,7,2,0,9.81,0,2,anchor_reorg,1,192,1,39.74,0.3974
2026-06-15,2026-06-16,605198,安德利,食品饮料,2,33,0,0,4.71,0,2,anchor_reorg,1,194,1,39.74,0.3974
2026-02-25,2026-02-26,601872,招商轮船,航运,2,21,0,0,30.87,0,2,anchor_nat_yizi,1,202,0,39.73,0.3973
2025-12-22,2025-12-23,002910,庄园牧场,食品饮料,4,11,1,0,5.05,0,4,anchor_reorg,1,216,0,39.71,0.3971
2026-03-12,2026-03-13,601330,绿色动力,垃圾发电,2,21,0,0,9.95,0,2,anchor_two,1,215,0,39.71,0.3971
2026-05-20,2026-05-21,600563,法拉电子,元器件,2,19,0,0,12.4,0,2,anchor_two,1,224,0,39.7,0.397
2026-07-03,2026-07-06,603559,中通国脉,ST摘帽,3,4,3,0,1.41,0,3,anchor_nat_yizi,3,232,0,39.68,0.3968
2026-03-05,2026-03-06,300265,通光线缆,智能电网,2,2,5,0,32.8,0,2,anchor_nat_yizi,4,246,0,39.66,0.3966
2026-03-16,2026-03-17,600683,京投发展,地产链,2,21,0,0,2.31,0,2,anchor_two,1,294,1,39.59,0.3959
2025-10-15,2025-10-16,600403,大有能源,煤炭,2,23,0,0,4.22,0,2,anchor_reorg,1,315,1,39.56,0.3956
2025-11-27,2025-11-28,000510,新金路,有色金属,3,18,0,0,8.19,0,3,anchor_nat_yizi,1,-300,0,39.53,0.3953
2026-04-10,2026-04-13,000889,中嘉博创,算力,3,3,4,0,7.76,0,3,anchor_reorg,1,-300,0,39.53,0.3953
2026-07-01,2026-07-02,600783,鲁信创投,商业航天,2,23,1,0,10.46,0,2,anchor_nat_yizi,1,977,0,39.51,0.3951
2025-12-01,2025-12-02,603778,国晟科技,锂电池,3,4,2,0,21.52,0,3,anchor_nat_yizi,1,381,0,39.46,0.3946
2025-12-24,2025-12-25,603163,圣晖集成,洁净室,3,9,1,0,2.9,0,3,anchor_nat_yizi,2,-250,1,39.45,0.3945
2026-03-11,2026-03-12,603803,瑞斯康达,通信,2,4,3,0,5.49,0,2,anchor_two,1,-249,0,39.45,0.3945
2026-05-12,2026-05-13,600530,交大昂立,保健品,3,17,0,0,4.39,0,3,anchor_nat_yizi,1,-247,1,39.45,0.3945
2026-06-17,2026-06-18,603115,海星股份,电阻电容,3,6,2,0,5.31,0,3,anchor_nat_yizi,1,410,0,39.41,0.3941
2026-02-12,2026-02-13,002323,雅博股份,光伏,4,19,0,0,8.37,0,4,anchor_nat_yizi,1,432,0,39.38,0.3938
2026-05-20,2026-05-21,002782,可立克,智能电网,2,19,0,0,12.76,1,2,anchor_two,1,429,0,39.38,0.3938
2026-07-10,2026-07-13,003020,立方制药,医药,2,3,8,0,3.24,0,2,anchor_two,1,1092,1,39.34,0.3934
2026-06-15,2026-06-16,601696,中银证券,证券,2,33,0,0,16.55,0,2,anchor_reorg,1,488,0,39.3,0.393
2025-11-28,2025-12-01,603778,国晟科技,锂电池,2,3,4,0,12.8,0,2,anchor_nat_yizi,1,499,1,39.28,0.3928
2026-03-12,2026-03-13,601016,节能风电,储能,2,4,3,0,34.7,0,2,anchor_two,2,509,0,39.26,0.3926
2026-05-21,2026-05-22,600611,大众交通,芯片,2,2,3,0,8.32,0,2,anchor_reorg,1,522,1,39.24,0.3924
2026-05-21,2026-05-22,002442,龙星科技,化工,2,15,0,0,9.88,0,2,anchor_reorg,1,534,1,39.23,0.3923
2026-05-26,2026-05-27,600726,华电能源,电力,2,3,3,0,15.19,0,2,anchor_nat_yizi,1,594,1,39.13,0.3913
2025-12-01,2025-12-02,002632,道明光学,消费电子,3,24,0,0,11.17,0,3,anchor_nat_yizi,1,630,1,39.08,0.3908
2026-03-11,2026-03-12,000839,国安股份,AI应用,2,8,1,0,23.19,0,2,anchor_two,1,0,0,39.08,0.3908
2026-07-28,2026-07-29,002173,创新医疗,脑机接口,2,3,3,0,8.44,0,2,anchor_reorg,1,0,0,39.08,0.3908
2026-03-02,2026-03-03,603897,长城科技,智能电网,2,7,2,0,6.23,0,2,anchor_nat_yizi,1,651,0,39.05,0.3905
2026-07-08,2026-07-09,301251,威尔高,电源,2,20,0,0,13.54,0,2,anchor_nat_yizi,1,33,0,39.03,0.3903
2026-05-06,2026-05-07,002081,金螳螂,商业航天,4,8,2,0,17.21,0,4,anchor_nat_yizi,2,672,1,39.02,0.3902
2026-07-08,2026-07-09,600094,大名城,算力,2,1,14,0,0.74,0,2,anchor_nat_yizi,1,55,0,38.99,0.3899
2025-12-12,2025-12-15,002471,中超控股,燃气轮机,2,2,9,0,10.06,0,2,anchor_nat_yizi,1,60,1,38.98,0.3898
2026-01-15,2026-01-16,605287,德才股份,基础建设,2,23,0,0,4.57,0,2,anchor_nat_yizi,1,61,0,38.98,0.3898
2026-03-19,2026-03-20,600396,华电辽能,风电,4,4,2,0,10.29,0,4,anchor_nat_yizi,1,66,1,38.98,0.3898
2026-07-17,2026-07-20,000676,智度股份,端侧AI,3,13,0,0,17.23,0,3,anchor_nat_yizi,2,63,0,38.98,0.3898
2026-07-28,2026-07-29,603358,华达科技,机器人概念,2,9,1,0,1.54,0,2,anchor_reorg,1,64,0,38.98,0.3898
2026-07-28,2026-07-29,002309,中利集团,智能电网,2,21,0,0,5.39,0,2,anchor_reorg,2,72,0,38.97,0.3897
2025-10-31,2025-11-03,603122,合富中国,医药,4,2,7,0,4.79,0,4,anchor_nat_yizi,1,77,1,38.96,0.3896
2026-03-11,2026-03-12,603421,鼎信通讯,智能电网,2,3,4,0,9.69,0,2,anchor_two,1,74,0,38.96,0.3896
2026-03-31,2026-04-01,000008,神州高铁,轨道交通,2,1,4,0,5.24,0,2,anchor_two,1,78,0,38.96,0.3896
2025-12-12,2025-12-15,000890,法尔胜,通信,2,11,1,0,3.18,0,2,anchor_nat_yizi,1,87,1,38.94,0.3894
2025-12-24,2025-12-25,603696,安记食品,海峡两岸,3,2,8,0,6.1,0,3,anchor_nat_yizi,2,97,0,38.93,0.3893
2026-03-31,2026-04-01,002634,棒杰股份,光伏,2,14,1,0,3.12,0,2,anchor_two,1,96,0,38.93,0.3893
2026-04-29,2026-04-30,603629,利通电子,算力,2,4,4,0,18.83,0,2,anchor_nat_yizi,1,97,0,38.93,0.3893
2026-06-01,2026-06-02,600280,中央商场,零售,2,38,0,0,2.93,0,2,anchor_nat_yizi,1,128,1,38.88,0.3888
2026-03-11,2026-03-12,600172,黄河旋风,金刚石概念,2,20,0,0,28.66,1,2,anchor_two,1,150,0,38.85,0.3885
2026-06-23,2026-06-24,600851,海欣股份,医药,3,1,13,0,4.35,0,3,anchor_nat_yizi,1,183,0,38.8,0.388
2026-07-28,2026-07-29,000428,华天酒店,旅游,2,21,0,0,1.13,0,2,anchor_reorg,1,195,1,38.78,0.3878
2026-05-22,2026-05-25,002442,龙星科技,化工,3,6,4,0,7.17,0,3,anchor_nat_yizi,1,885,0,38.7,0.387
2026-07-08,2026-07-09,002841,视源股份,中报增长,2,2,3,0,13.48,0,2,anchor_nat_yizi,1,264,1,38.68,0.3868
2026-06-17,2026-06-18,002080,中材科技,通信,3,2,14,0,66.99,0,3,anchor_nat_yizi,7,906,0,38.66,0.3866
2026-06-15,2026-06-16,000506,招金黄金,黄金,2,33,0,0,9.1,0,2,anchor_reorg,1,960,0,38.58,0.3858
2026-07-14,2026-07-15,603065,宿迁联盛,芯片,2,6,3,0,12.28,0,2,anchor_reorg,1,1597,0,38.58,0.3858
2026-07-24,2026-07-27,002879,长缆科技,智能电网,4,11,0,0,3.69,0,4,anchor_reorg,2,-300,1,38.57,0.3857
2026-07-28,2026-07-29,001358,兴欣新材,芯片,2,1,10,0,0.71,0,2,anchor_reorg,1,342,1,38.56,0.3856
