signal_date,outcome_date,code,name,boards,height_bucket,theme,H,H_prev,leader_absent,leader_any_absent,height_drop,height_new_high,leader_baoliang,prev_leader_baoliang,theme_alive,theme_dead,same_theme_broken,loose_theme_broken,tier,is_new_high,is_sub_high,is_mid_2_3,is_legacy_near,one_price_today,zt_next,promote,one_word_next,tradable_zt,zha_next,zha_change_rate,boards_next,zt_d2,promote_d2,zt_d3,same_theme_baoliang
2025-10-09,2025-10-10,002759,天际股份,4,4,固态电池,4,,False,False,False,False,False,False,False,False,False,False,new_high,True,False,False,False,False,False,False,,False,False,,,True,False,False,False
2025-10-09,2025-10-10,000981,山子高科,3,3,汽车零部件,4,,False,False,False,False,False,False,False,False,False,False,sub_high|mid_2_3,False,True,True,False,False,False,False,,False,False,,,False,False,True,False
2025-10-09,2025-10-10,300948,冠中生态,3,3,实控人变更,4,,False,False,False,False,False,False,False,False,False,False,sub_high|mid_2_3,False,True,True,False,True,False,False,,False,True,13.4298,,False,False,False,False
2025-10-09,2025-10-10,000021,深科技,2,2,芯片,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2025-10-09,2025-10-10,000923,河钢资源,2,2,有色金属,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2025-10-09,2025-10-10,002295,精艺股份,2,2,有色金属,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2025-10-09,2025-10-10,600362,江西铜业,2,2,有色金属,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,False,False,False,,False,True,7.8381,,False,False,False,False
2025-10-09,2025-10-10,600711,盛屯矿业,2,2,有色金属,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,False,False,False,,False,False,,,False,False,False,False
2025-10-09,2025-10-10,603011,合锻智能,2,2,核电,4,,False,False,False,False,False,False,False,False,False,False,h_minus_2|mid_2_3,False,False,True,False,True,True,True,True,False,False,,3,True,True,False,False
2025-10-10,2025-10-13,603011,合锻智能,3,3,核电,3,4,True,True,True,False,False,False,False,True,False,False,new_high|mid_2_3|legacy_near,True,False,True,True,True,True,True,False,True,False,,4,False,False,False,False
2025-10-10,2025-10-13,000819,岳阳兴长,2,2,化工,3,4,True,True,True,False,False,False,False,True,False,True,sub_high|mid_2_3|legacy_near,False,True,True,True,False,False,False,,False,False,,,False,False,False,False
2025-10-10,2025-10-13,000969,安泰科技,2,2,核电,3,4,True,True,True,False,False,False,False,True,False,False,sub_high|mid_2_3|legacy_near,False,True,True,True,False,True,True,True,False,False,,3,True,True,False,False
2025-10-10,2025-10-13,002084,海鸥住工,2,2,新型工业化,3,4,True,True,True,False,False,False,False,True,False,False,sub_high|mid_2_3|legacy_near,False,True,True,True,False,False,False,,False,False,,,True,False,False,False
2025-10-10,2025-10-13,002910,庄园牧场,2,2,农业,3,4,True,True,True,False,False,False,False,True,False,False,sub_high|mid_2_3|legacy_near,False,True,True,True,False,False,False,,False,True,-7.8661,,False,False,False,False
2025-10-10,2025-10-13,002941,新疆交建,2,2,基础建设,3,4,True,True,True,False,False,False,False,True,False,False,sub_high|mid_2_3|legacy_near,False,True,True,True,False,False,False,,False,False,,,False,False,False,False
2025-10-10,2025-10-13,600078,澄星股份,2,2,化工,3,4,True,True,True,False,False,False,False,True,False,True,sub_high|mid_2_3|legacy_near,False,True,True,True,False,True,True,False,True,False,,3,True,True,False,False
2025-10-10,2025-10-13,600635,大众公用,2,2,摩尔线程概念,3,4,True,True,True,False,False,False,False,True,False,False,sub_high|mid_2_3|legacy_near,False,True,True,True,False,False,False,,False,False,,,False,False,False,False
