filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
strong&newh,maxc3,41,30,0.7317,17,11,0.6471,24,19,0.7917,False
ge4&early&strong,hold_touch3,78,57,0.7308,53,37,0.6981,25,20,0.8000,False
ge4&early&strong,maxc3,78,57,0.7308,53,38,0.7170,25,19,0.7600,False
eq3&newh,maxc3,59,43,0.7288,12,8,0.6667,47,35,0.7447,False
ge4&strong,hold_touch3,81,59,0.7284,56,39,0.6964,25,20,0.8000,False
ge4&strong,maxc3,81,59,0.7284,56,40,0.7143,25,19,0.7600,False
ge5&strong,hold_flat,33,24,0.7273,20,14,0.7000,13,10,0.7692,False
ge5&strong,zt3,33,24,0.7273,20,13,0.6500,13,11,0.8462,False
eq3&tn5,maxc3,182,132,0.7253,89,58,0.6517,93,74,0.7957,False
tn8,maxc3,741,536,0.7233,355,237,0.6676,386,299,0.7746,False
tn5&tn8,maxc3,741,536,0.7233,355,237,0.6676,386,299,0.7746,False
tn8&mid,maxc3,644,464,0.7205,299,199,0.6656,345,265,0.7681,False
ge4&absent,maxc3,100,72,0.7200,66,45,0.6818,34,27,0.7941,False
ge3&strong&tn5,touch3,71,51,0.7183,37,26,0.7027,34,25,0.7353,False
early&tn5,maxc3,818,586,0.7164,402,282,0.7015,416,304,0.7308,False
ge5&absent,touch3,35,25,0.7143,25,18,0.7200,10,7,0.7000,False
ge5&absent,hold_touch3,35,25,0.7143,25,18,0.7200,10,7,0.7000,False
ge5&strong&tn5,hold_3d,21,15,0.7143,13,9,0.6923,8,6,0.7500,False
ge5&tn8,maxc3,45,32,0.7111,28,17,0.6071,17,15,0.8824,False
ge4&early&strong,touch3,72,51,0.7083,50,34,0.6800,22,17,0.7727,False
ge3&absent,maxc3,267,189,0.7079,140,93,0.6643,127,96,0.7559,False
ge3&tn5,maxc3,342,242,0.7076,180,116,0.6444,162,126,0.7778,False
strong&newh,hold_touch3,41,29,0.7073,17,11,0.6471,24,18,0.7500,False
ge4&strong&tn5,open_zt3,41,29,0.7073,26,18,0.6923,15,11,0.7333,False
tn5&intact,maxc3,700,495,0.7071,353,238,0.6742,347,257,0.7406,False
ge3&intact&strong,hold_touch3,99,70,0.7071,63,43,0.6825,36,27,0.7500,False
ge3&early&strong,hold_touch3,150,106,0.7067,97,66,0.6804,53,40,0.7547,False
ge3&early&strong,maxc3,150,106,0.7067,97,65,0.6701,53,41,0.7736,False
ge4&strong,touch3,75,53,0.7067,53,36,0.6792,22,17,0.7727,False
ge3&strong,hold_touch3,163,115,0.7055,107,73,0.6822,56,42,0.7500,False
eq3&early&tn5,maxc3,146,103,0.7055,77,50,0.6494,69,53,0.7681,False
ge5&suc8,hold_touch3,78,55,0.7051,51,34,0.6667,27,21,0.7778,False
tn8&opened,maxc3,484,341,0.7045,235,149,0.6340,249,192,0.7711,False
ge5&suc8,touch3,74,52,0.7027,47,31,0.6596,27,21,0.7778,False
tn5&mid,maxc3,983,690,0.7019,464,313,0.6746,519,377,0.7264,False
eq3&absent,maxc3,167,117,0.7006,74,48,0.6486,93,69,0.7419,False
ge3&newh,maxc3,210,147,0.7000,83,52,0.6265,127,95,0.7480,False
ge5&strong,open_zt3,30,21,0.7000,18,11,0.6111,12,10,0.8333,False
tn5,maxc3,1143,800,0.6999,555,371,0.6685,588,429,0.7296,False
ge3&strong,maxc3,163,114,0.6994,107,71,0.6636,56,43,0.7679,False
absent&newh,maxc3,123,86,0.6992,44,28,0.6364,79,58,0.7342,False
tn8&suc8,maxc3,299,209,0.6990,141,93,0.6596,158,116,0.7342,False
ge3&intact&strong,touch3,96,67,0.6979,61,41,0.6721,35,26,0.7429,False
ge3&intact&strong,maxc3,99,69,0.6970,63,41,0.6508,36,28,0.7778,False
ge5&strong,hold_close,33,23,0.6970,20,13,0.6500,13,10,0.7692,False
tn5&suc8,maxc3,475,331,0.6968,236,159,0.6737,239,172,0.7197,False
ge4&suc8,maxc3,164,114,0.6951,103,72,0.6990,61,42,0.6885,False
newh&mid,maxc3,72,50,0.6944,16,11,0.6875,56,39,0.6964,False
newh&suc8,maxc3,111,77,0.6937,44,30,0.6818,67,47,0.7015,False
strong&tn8,hold_touch3,123,85,0.6911,75,45,0.6000,48,40,0.8333,False
ge4&early,maxc3,262,181,0.6908,157,103,0.6561,105,78,0.7429,False
newh,maxc3,223,154,0.6906,87,55,0.6322,136,99,0.7279,False
ge4&newh,maxc3,151,104,0.6887,71,44,0.6197,80,60,0.7500,False
tn5&absent,maxc3,443,305,0.6885,202,133,0.6584,241,172,0.7137,False
ge3&strong,touch3,154,106,0.6883,102,68,0.6667,52,38,0.7308,False
tn5&opened,maxc3,773,532,0.6882,380,244,0.6421,393,288,0.7328,False
tn8&absent,maxc3,279,192,0.6882,126,76,0.6032,153,116,0.7582,False
ge3&early&strong,touch3,141,97,0.6879,92,61,0.6630,49,36,0.7347,False
ge4&tn5,maxc3,160,110,0.6875,91,58,0.6374,69,52,0.7536,False
ge5&strong,hold_3d,32,22,0.6875,20,12,0.6000,12,10,0.8333,False
tn5&newh,maxc3,115,79,0.6870,33,18,0.5455,82,61,0.7439,False
ge4,maxc3,312,214,0.6859,190,124,0.6526,122,90,0.7377,False
ge3&ge4,maxc3,312,214,0.6859,190,124,0.6526,122,90,0.7377,False
ge5&absent,open_flat,35,24,0.6857,25,16,0.6400,10,8,0.8000,False
ge5&newh,maxc3,89,61,0.6854,46,29,0.6304,43,32,0.7442,False
newh&suc8,hold_touch3,111,76,0.6847,44,29,0.6591,67,47,0.7015,False
early&intact,maxc3,977,668,0.6837,514,350,0.6809,463,318,0.6868,False
ge3&suc8,maxc3,338,231,0.6834,196,129,0.6582,142,102,0.7183,False
ge3&early,maxc3,568,388,0.6831,330,216,0.6545,238,172,0.7227,False
ge4&suc8,hold_touch3,164,112,0.6829,103,70,0.6796,61,42,0.6885,False
eq3&strong,hold_touch3,82,56,0.6829,51,34,0.6667,31,22,0.7097,False
strong&newh,hold_flat,41,28,0.6829,17,11,0.6471,24,17,0.7083,False
early&newh,maxc3,189,129,0.6825,72,46,0.6389,117,83,0.7094,False
early&opened,maxc3,1179,804,0.6819,637,427,0.6703,542,377,0.6956,False
ge3,maxc3,697,475,0.6815,398,256,0.6432,299,219,0.7324,False
early,maxc3,1625,1105,0.6800,850,575,0.6765,775,530,0.6839,False
intact&newh,maxc3,100,68,0.6800,43,27,0.6279,57,41,0.7193,False
ge5&suc8,maxc3,78,53,0.6795,51,35,0.6863,27,18,0.6667,False
ge4&early&strong,hold_flat,78,53,0.6795,53,37,0.6981,25,16,0.6400,False
ge3&strong&tn5,zt3,78,53,0.6795,40,26,0.6500,38,27,0.7105,False
ge4&strong,hold_flat,81,55,0.6790,56,39,0.6964,25,16,0.6400,False
absent&suc8,maxc3,361,245,0.6787,173,112,0.6474,188,133,0.7074,False
eq3,maxc3,385,261,0.6779,208,132,0.6346,177,129,0.7288,False
ge3&eq3,maxc3,385,261,0.6779,208,132,0.6346,177,129,0.7288,False
ge3&mid,maxc3,385,261,0.6779,208,132,0.6346,177,129,0.7288,False
eq3&mid,maxc3,385,261,0.6779,208,132,0.6346,177,129,0.7288,False
early&mid,maxc3,1363,924,0.6779,693,472,0.6811,670,452,0.6746,False
intact&mid,maxc3,1103,747,0.6772,562,372,0.6619,541,375,0.6932,False
newh&opened,maxc3,164,111,0.6768,71,45,0.6338,93,66,0.7097,False
eq3&early,maxc3,306,207,0.6765,173,113,0.6532,133,94,0.7068,False
tn8&newh,hold_close,71,48,0.6761,21,11,0.5238,50,37,0.7400,False
tn8&newh,hold_flat,71,48,0.6761,21,11,0.5238,50,37,0.7400,False
intact,maxc3,1315,889,0.6760,686,451,0.6574,629,438,0.6963,False
strong&newh,touch3,37,25,0.6757,16,10,0.6250,21,15,0.7143,False
strong&tn8,hold_flat,123,83,0.6748,75,50,0.6667,48,33,0.6875,False
early&absent,maxc3,648,437,0.6744,336,225,0.6696,312,212,0.6795,False
early&suc8,maxc3,660,445,0.6742,352,239,0.6790,308,206,0.6688,False
drop,maxc3,574,386,0.6725,277,181,0.6534,297,205,0.6902,False
eq3&suc8,maxc3,174,117,0.6724,93,57,0.6129,81,60,0.7407,False
intact&opened,maxc3,914,614,0.6718,492,319,0.6484,422,295,0.6991,False
eq3&opened,maxc3,295,198,0.6712,166,107,0.6446,129,91,0.7054,False
ge4&suc8,touch3,155,104,0.6710,96,64,0.6667,59,40,0.6780,False
eq3&strong,touch3,79,53,0.6709,49,32,0.6531,30,21,0.7000,False
eq3&strong,maxc3,82,55,0.6707,51,31,0.6078,31,24,0.7742,False
ge4&tn8,hold_close,97,65,0.6701,56,34,0.6071,41,31,0.7561,False
ge4&tn8,hold_flat,97,65,0.6701,56,34,0.6071,41,31,0.7561,False
ge3&tn8,hold_close,212,142,0.6698,112,70,0.6250,100,72,0.7200,False
ge3&tn8,hold_flat,212,142,0.6698,112,70,0.6250,100,72,0.7200,False
ge4&intact,maxc3,212,142,0.6698,124,79,0.6371,88,63,0.7159,False
ge5&early,maxc3,112,75,0.6696,66,41,0.6212,46,34,0.7391,False
eq3&tn8,hold_close,115,77,0.6696,56,36,0.6429,59,41,0.6949,False
eq3&tn8,hold_flat,115,77,0.6696,56,36,0.6429,59,41,0.6949,False
ge5,maxc3,133,89,0.6692,85,53,0.6235,48,36,0.7500,False
ge3&ge5,maxc3,133,89,0.6692,85,53,0.6235,48,36,0.7500,False
ge4&ge5,maxc3,133,89,0.6692,85,53,0.6235,48,36,0.7500,False
ge3&opened,maxc3,525,351,0.6686,309,196,0.6343,216,155,0.7176,False
strong&intact,maxc3,234,156,0.6667,155,99,0.6387,79,57,0.7215,False
strong&tn5,hold_touch3,186,124,0.6667,109,68,0.6239,77,56,0.7273,False
strong&tn8,hold_close,123,82,0.6667,75,49,0.6533,48,33,0.6875,False
ge4&strong,hold_close,81,54,0.6667,56,38,0.6786,25,16,0.6400,False
ge4&strong,zt3,81,54,0.6667,56,35,0.6250,25,19,0.7600,False
ge4&early&strong,hold_close,78,52,0.6667,53,36,0.6792,25,16,0.6400,False
ge4&early&strong,zt3,78,52,0.6667,53,33,0.6226,25,19,0.7600,False
ge5&tn8,hold_touch3,45,30,0.6667,28,18,0.6429,17,12,0.7059,False
ge5&tn8,hold_close,45,30,0.6667,28,17,0.6071,17,13,0.7647,False
ge5&tn8,hold_flat,45,30,0.6667,28,17,0.6071,17,13,0.7647,False
ge5&tn8,touch3,42,28,0.6667,26,17,0.6538,16,11,0.6875,False
mid&opened,maxc3,1293,861,0.6659,660,418,0.6333,633,443,0.6998,False
opened,maxc3,1523,1014,0.6658,803,507,0.6314,720,507,0.7042,False
ALL_ny,maxc3,2220,1477,0.6653,1135,726,0.6396,1085,751,0.6922,False
ge4&opened,maxc3,230,153,0.6652,143,89,0.6224,87,64,0.7356,False
ge3&intact,maxc3,430,286,0.6651,258,163,0.6318,172,123,0.7151,False
opened&suc8,maxc3,624,415,0.6651,329,214,0.6505,295,201,0.6814,False
unopened,maxc3,697,463,0.6643,332,219,0.6596,365,244,0.6685,False
ge4&intact&tn5,maxc3,110,73,0.6636,60,36,0.6000,50,37,0.7400,False
newh&suc8,touch3,104,69,0.6635,42,27,0.6429,62,42,0.6774,False
mid,maxc3,1908,1263,0.6619,945,602,0.6370,963,661,0.6864,False
eq3&intact,maxc3,218,144,0.6606,134,84,0.6269,84,60,0.7143,False
ge4&strong&tn5,open_flat,41,27,0.6585,26,16,0.6154,15,11,0.7333,False
eq2,maxc3,1523,1002,0.6579,737,470,0.6377,786,532,0.6768,False
ge5&absent,open_zt3,35,23,0.6571,25,17,0.6800,10,6,0.6000,False
ge5&absent,zt3,35,23,0.6571,25,17,0.6800,10,6,0.6000,False
ge5&opened,maxc3,102,67,0.6569,67,41,0.6119,35,26,0.7429,False
absent&opened,maxc3,609,400,0.6568,311,188,0.6045,298,212,0.7114,False
suc8,maxc3,906,595,0.6567,467,294,0.6296,439,301,0.6856,False
ge4&early,hold_touch3,262,172,0.6565,157,99,0.6306,105,73,0.6952,False
strong&tn5,hold_flat,186,122,0.6559,109,72,0.6606,77,50,0.6494,False
strong,maxc3,392,257,0.6556,265,168,0.6340,127,89,0.7008,False
early&strong,maxc3,353,231,0.6544,238,151,0.6345,115,80,0.6957,False
strong&suc8,hold_touch3,159,104,0.6541,115,74,0.6435,44,30,0.6818,False
strong&suc8,maxc3,159,104,0.6541,115,72,0.6261,44,32,0.7273,False
ge5&early,hold_touch3,112,73,0.6518,66,39,0.5909,46,34,0.7391,False
ge5&newh,hold_touch3,89,58,0.6517,46,27,0.5870,43,31,0.7209,False
early&tn8,hold_flat,521,339,0.6507,259,164,0.6332,262,175,0.6679,False
intact&newh,hold_touch3,100,65,0.6500,43,28,0.6512,57,37,0.6491,False
ge5&strong&tn5,open_flat,20,13,0.6500,12,7,0.5833,8,6,0.7500,False
absent,maxc3,905,588,0.6497,449,275,0.6125,456,313,0.6864,False
mid&suc8,maxc3,742,481,0.6482,364,222,0.6099,378,259,0.6852,False
ge3&strong&tn5,open_zt3,71,46,0.6479,37,23,0.6216,34,23,0.6765,False
ge4&early,touch3,251,162,0.6454,150,93,0.6200,101,69,0.6832,False
strong&tn5,hold_close,186,120,0.6452,109,71,0.6514,77,49,0.6364,False
ge5&early,touch3,107,69,0.6449,62,36,0.5806,45,33,0.7333,False
ge5&newh,touch3,87,56,0.6437,44,25,0.5682,43,31,0.7209,False
tn8&intact,hold_flat,462,297,0.6429,229,137,0.5983,233,160,0.6867,False
ge5&tn5,maxc3,70,45,0.6429,44,26,0.5909,26,19,0.7308,False
ge4&newh,hold_touch3,151,97,0.6424,71,44,0.6197,80,53,0.6625,False
intact&suc8,maxc3,545,350,0.6422,294,182,0.6190,251,168,0.6693,False
early&tn8,hold_close,521,334,0.6411,259,161,0.6216,262,173,0.6603,False
absent&mid,maxc3,805,516,0.6410,383,230,0.6005,422,286,0.6777,False
ge4&strong,open_zt3,75,48,0.6400,53,32,0.6038,22,16,0.7273,False
mid&tn8&intact,hold_flat,397,254,0.6398,196,118,0.6020,201,136,0.6766,False
strong&absent,hold_touch3,158,101,0.6392,110,71,0.6455,48,30,0.6250,False
strong&absent,maxc3,158,101,0.6392,110,69,0.6273,48,32,0.6667,False
intact&newh,touch3,97,62,0.6392,41,26,0.6341,56,36,0.6429,False
ge4&early&strong,open_zt3,72,46,0.6389,50,30,0.6000,22,16,0.7273,False
strong&tn8,touch3,105,67,0.6381,63,33,0.5238,42,34,0.8095,False
strong&mid,maxc3,311,198,0.6367,209,128,0.6124,102,70,0.6863,False
ge3&intact&strong,hold_flat,99,63,0.6364,63,40,0.6349,36,23,0.6389,False
ge4&strong&tn5,hold_3d,44,28,0.6364,27,16,0.5926,17,12,0.7059,False
tn8&intact,hold_close,462,293,0.6342,229,136,0.5939,233,157,0.6738,False
strong&newh,hold_close,41,26,0.6341,17,9,0.5294,24,17,0.7083,False
strong&newh,zt3,41,26,0.6341,17,8,0.4706,24,18,0.7500,False
strong&opened,maxc3,194,123,0.6340,141,85,0.6028,53,38,0.7170,False
ge3&early&strong,hold_flat,150,95,0.6333,97,60,0.6186,53,35,0.6604,False
ge5&newh,open_flat,87,55,0.6322,44,27,0.6136,43,28,0.6512,False
ge4&intact,hold_touch3,212,134,0.6321,124,77,0.6210,88,57,0.6477,False
ge3&strong,hold_flat,163,103,0.6319,107,66,0.6168,56,37,0.6607,False
ge5,hold_touch3,133,84,0.6316,85,50,0.5882,48,34,0.7083,False
ge3&ge5,hold_touch3,133,84,0.6316,85,50,0.5882,48,34,0.7083,False
ge4&ge5,hold_touch3,133,84,0.6316,85,50,0.5882,48,34,0.7083,False
ge3&suc8,hold_touch3,338,213,0.6302,196,124,0.6327,142,89,0.6268,False
amt_mid,maxc3,408,257,0.6299,163,102,0.6258,245,155,0.6327,False
mid&tn8&intact,hold_close,397,250,0.6297,196,117,0.5969,201,133,0.6617,False
ge5&absent,hold_flat,35,22,0.6286,25,15,0.6000,10,7,0.7000,False
ge4&suc8,hold_flat,164,103,0.6280,103,66,0.6408,61,37,0.6066,False
ge4&newh,touch3,145,91,0.6276,68,41,0.6029,77,50,0.6494,False
ge3&early&strong,hold_close,150,94,0.6267,97,59,0.6082,53,35,0.6604,False
ge3&early&strong,zt3,150,94,0.6267,97,58,0.5979,53,36,0.6792,False
ge3&intact&strong,hold_close,99,62,0.6263,63,39,0.6190,36,23,0.6389,False
ge3&strong,hold_close,163,102,0.6258,107,65,0.6075,56,37,0.6607,False
ge3&early,hold_touch3,568,355,0.6250,330,202,0.6121,238,153,0.6429,False
strong,hold_touch3,392,245,0.6250,265,164,0.6189,127,81,0.6378,False
ge4,hold_touch3,312,195,0.6250,190,118,0.6211,122,77,0.6311,False
ge3&ge4,hold_touch3,312,195,0.6250,190,118,0.6211,122,77,0.6311,False
ge4&absent,open_flat,96,60,0.6250,64,39,0.6094,32,21,0.6562,False
early&newh,hold_touch3,189,118,0.6243,72,42,0.5833,117,76,0.6496,False
ge3&newh,hold_touch3,210,131,0.6238,83,50,0.6024,127,81,0.6378,False
tn8,hold_flat,741,462,0.6235,355,206,0.5803,386,256,0.6632,False
tn5&tn8,hold_flat,741,462,0.6235,355,206,0.5803,386,256,0.6632,False
eq3&early&tn5,hold_close,146,91,0.6233,77,45,0.5844,69,46,0.6667,False
