filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
mid&tn8&intact,zt3,397,151,0.3804,196,76,0.3878,201,75,0.3731,False
strong&newh,open_up,37,14,0.3784,16,5,0.3125,21,9,0.4286,False
mid&opened,open_zt3,1261,475,0.3767,638,248,0.3887,623,227,0.3644,False
ge3&strong,open_up,154,58,0.3766,102,41,0.4020,52,17,0.3269,False
tn8,open_zt3,705,265,0.3759,333,120,0.3604,372,145,0.3898,False
tn5&tn8,open_zt3,705,265,0.3759,333,120,0.3604,372,145,0.3898,False
intact&mid,open_zt3,1067,401,0.3758,535,215,0.4019,532,186,0.3496,False
ge3&intact&strong,open_up,96,36,0.3750,61,25,0.4098,35,11,0.3143,False
strong05,touch3,80,30,0.3750,72,27,0.3750,8,3,0.3750,False
intact&suc8,open_zt3,527,197,0.3738,280,105,0.3750,247,92,0.3725,False
mid&suc8,zt3,744,278,0.3737,366,137,0.3743,378,141,0.3730,False
tn5&suc8,open_zt3,449,167,0.3719,218,82,0.3761,231,85,0.3680,False
mid,open_zt3,1842,685,0.3719,902,349,0.3869,940,336,0.3574,False
tn5&opened,open_zt3,746,277,0.3713,361,140,0.3878,385,137,0.3558,False
strong&absent,open_up,141,52,0.3688,100,38,0.3800,41,14,0.3415,False
ge3&early&strong,open_up,141,52,0.3688,92,36,0.3913,49,16,0.3265,False
tn8&absent,open_zt3,266,98,0.3684,122,41,0.3361,144,57,0.3958,False
eq2,zt3,1526,562,0.3683,739,291,0.3938,787,271,0.3443,False
tn8&suc8,zt3,299,110,0.3679,141,53,0.3759,158,57,0.3608,False
absent&mid,open_zt3,775,284,0.3665,367,134,0.3651,408,150,0.3676,False
tn5&mid,open_zt3,939,344,0.3663,433,158,0.3649,506,186,0.3676,False
ge4&strong&tn5,open_up,41,15,0.3659,26,8,0.3077,15,7,0.4667,False
tn8&opened,open_zt3,465,168,0.3613,223,80,0.3587,242,88,0.3636,False
tn8&mid,open_zt3,616,219,0.3555,281,93,0.3310,335,126,0.3761,False
mid&suc8,open_zt3,717,253,0.3529,351,124,0.3533,366,129,0.3525,False
ge3&strong&tn5,open_up,71,25,0.3521,37,12,0.3243,34,13,0.3824,False
mid&tn8&intact,open_zt3,379,133,0.3509,181,61,0.3370,198,72,0.3636,False
eq2,open_zt3,1470,511,0.3476,704,258,0.3665,766,253,0.3303,False
ge4&early&strong,open_up,72,25,0.3472,50,17,0.3400,22,8,0.3636,False
ge4&strong,open_up,75,26,0.3467,53,18,0.3396,22,8,0.3636,False
tn8&suc8,open_zt3,281,92,0.3274,129,41,0.3178,152,51,0.3355,False
strong&tn5,open_up,163,51,0.3129,93,28,0.3011,70,23,0.3286,False
ge5&strong,open_up,30,9,0.3000,18,3,0.1667,12,6,0.5000,False
strong&tn8,open_up,105,28,0.2667,63,15,0.2381,42,13,0.3095,False
strong05,hold_3d,81,15,0.1852,75,14,0.1867,6,1,0.1667,False
