definition,filters,n,wins,rate,half1,half2,notes
promote,same_theme_broken & NOT own_baoliang,136,41,0.3015,24/55=43.6%,17/81=21.0%,yizi_today=16.9% | yizi_next_all=7.4% | height{2:116;3:12;4:6;5:2} | themes=23 | dates=56
promote,NOT theme_alive & is_sub_high,209,63,0.3014,45/136=33.1%,18/73=24.7%,yizi_today=20.6% | yizi_next_all=7.2% | height{2:128;3:44;4:26;5:9;6:1;7:1} | themes=56 | dates=58
promote,NOT prev_leader_baoliang & theme_alive,478,144,0.3013,55/156=35.3%,89/322=27.6%,yizi_today=16.1% | yizi_next_all=8.2% | height{2:311;3:100;4:40;5:15;6:8;10:3;14:1} | themes=83 | dates=34
promote,NOT boards_ge5 & is_fanbao & href_le1,30,9,0.3000,1/4=25.0%,8/26=30.8%,yizi_today=3.3% | yizi_next_all=3.3% | height{2:15;3:6;4:9} | themes=11 | dates=21
promote,leader_absent & NOT height_drop,395,118,0.2987,64/216=29.6%,54/179=30.2%,yizi_today=16.2% | yizi_next_all=7.8% | height{2:267;3:80;4:36;5:5;6:5;10:1;14:1} | themes=72 | dates=28
promote,NOT height_drop & lag0,395,118,0.2987,64/216=29.6%,54/179=30.2%,yizi_today=16.2% | yizi_next_all=7.8% | height{2:267;3:80;4:36;5:5;6:5;10:1;14:1} | themes=72 | dates=28
promote,H_le4,935,278,0.2973,113/344=32.8%,165/591=27.9%,yizi_today=15.7% | yizi_next_all=7.4% | height{2:672;3:177;4:86} | themes=99 | dates=78
promote,is_legacy_near & leader_absent & theme_alive_own,313,93,0.2971,46/140=32.9%,47/173=27.2%,yizi_today=17.6% | yizi_next_all=7.3% | height{2:190;3:73;4:35;5:6;6:6;7:2;10:1} | themes=58 | dates=66
promote,theme_alive & is_mid_2_3,819,243,0.2967,89/266=33.5%,154/553=27.8%,yizi_today=13.4% | yizi_next_all=6.6% | height{2:651;3:168} | themes=97 | dates=72
promote,NOT height_new_high & same_theme_broken,162,48,0.2963,28/71=39.4%,20/91=22.0%,yizi_today=16.7% | yizi_next_all=8.0% | height{2:115;3:29;4:12;5:5;10:1} | themes=27 | dates=61
promote,NOT is_new_high & same_theme_baoliang,108,32,0.2963,21/63=33.3%,11/45=24.4%,yizi_today=21.3% | yizi_next_all=9.3% | height{2:73;3:23;4:8;5:3;6:1} | themes=24 | dates=54
promote,boards_eq2,1771,523,0.2953,297/895=33.2%,226/876=25.8%,yizi_today=13.8% | yizi_next_all=7.9% | height{2:1771} | themes=138 | dates=206
promote,theme_alive & NOT is_new_high,811,239,0.2947,97/284=34.2%,142/527=26.9%,yizi_today=13.6% | yizi_next_all=6.8% | height{2:651;3:126;4:27;5:7} | themes=95 | dates=72
promote,leader_baoliang & is_fanbao,34,10,0.2941,1/6=16.7%,9/28=32.1%,yizi_today=8.8% | yizi_next_all=2.9% | height{2:21;3:8;4:5} | themes=16 | dates=25
promote,NOT theme_alive_own & theme_alive,143,42,0.2937,14/52=26.9%,28/91=30.8%,yizi_today=16.8% | yizi_next_all=6.3% | height{2:98;3:28;4:12;5:4;6:1} | themes=70 | dates=64
promote,is_sub_high & NOT is_fanbao,392,115,0.2934,59/180=32.8%,56/212=26.4%,yizi_today=15.3% | yizi_next_all=6.6% | height{2:247;3:97;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,NOT is_new_high & NOT is_fanbao & href_le1,392,115,0.2934,59/180=32.8%,56/212=26.4%,yizi_today=15.3% | yizi_next_all=6.6% | height{2:247;3:97;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,same_theme_broken,164,48,0.2927,28/71=39.4%,20/93=21.5%,yizi_today=16.5% | yizi_next_all=7.9% | height{2:116;3:30;4:12;5:5;10:1} | themes=27 | dates=62
promote,NOT one_price_today & same_theme_baoliang,192,56,0.2917,22/92=23.9%,34/100=34.0%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:71;3:47;4:34;5:20;6:10;7:5;8:3;11:1;18:1} | themes=40 | dates=89
promote,NOT theme_alive_own & is_sub_high,72,21,0.2917,8/29=27.6%,13/43=30.2%,yizi_today=13.9% | yizi_next_all=4.2% | height{2:48;3:16;4:5;5:3} | themes=44 | dates=46
promote,NOT is_new_high & NOT theme_alive_own & href_le1,72,21,0.2917,8/29=27.6%,13/43=30.2%,yizi_today=13.9% | yizi_next_all=4.2% | height{2:48;3:16;4:5;5:3} | themes=44 | dates=46
promote,NOT leader_absent & NOT theme_alive_own & opened,158,46,0.2911,32/90=35.6%,14/68=20.6%,yizi_today=0.0% | yizi_next_all=0.6% | height{2:103;3:31;4:12;5:6;6:1;7:1;8:2;9:1;18:1} | themes=76 | dates=90
promote,opened & same_theme_baoliang,148,43,0.2905,18/74=24.3%,25/74=33.8%,yizi_today=0.0% | yizi_next_all=0.7% | height{2:50;3:38;4:26;5:18;6:8;7:4;8:2;11:1;18:1} | themes=35 | dates=82
promote,NOT unopened & same_theme_baoliang,148,43,0.2905,18/74=24.3%,25/74=33.8%,yizi_today=0.0% | yizi_next_all=0.7% | height{2:50;3:38;4:26;5:18;6:8;7:4;8:2;11:1;18:1} | themes=35 | dates=82
promote,NOT one_price_today & theme_alive_own & NOT opened,579,168,0.2902,94/279=33.7%,74/300=24.7%,yizi_today=0.0% | yizi_next_all=5.5% | height{2:438;3:70;4:45;5:17;6:5;7:2;8:2} | themes=74 | dates=191
promote,NOT opened & is_fanbao & NOT href_le1,38,11,0.2895,1/3=33.3%,10/35=28.6%,yizi_today=26.3% | yizi_next_all=5.3% | height{2:34;3:3;5:1} | themes=20 | dates=28
promote,theme_alive & same_theme_broken,159,46,0.2893,26/66=39.4%,20/93=21.5%,yizi_today=16.4% | yizi_next_all=8.2% | height{2:113;3:29;4:12;5:4;10:1} | themes=25 | dates=57
promote,is_sub_high & NOT own_baoliang,346,100,0.2890,48/144=33.3%,52/202=25.7%,yizi_today=15.3% | yizi_next_all=6.1% | height{2:261;3:57;4:20;5:7;7:1} | themes=67 | dates=81
promote,NOT is_new_high & NOT own_baoliang & href_le1,346,100,0.2890,48/144=33.3%,52/202=25.7%,yizi_today=15.3% | yizi_next_all=6.1% | height{2:261;3:57;4:20;5:7;7:1} | themes=67 | dates=81
promote,is_sub_high & NOT same_theme_baoliang,381,110,0.2887,58/174=33.3%,52/207=25.1%,yizi_today=14.4% | yizi_next_all=6.6% | height{2:250;3:90;4:27;5:12;6:1;7:1} | themes=73 | dates=101
promote,NOT theme_alive & NOT one_price_today,1435,414,0.2885,272/884=30.8%,142/551=25.8%,yizi_today=0.0% | yizi_next_all=3.8% | height{2:944;3:258;4:124;5:51;6:27;7:16;8:10;9:1;11:1;12:1;13:1;18:1} | themes=127 | dates=135
promote,height_drop & opened,378,109,0.2884,56/182=30.8%,53/196=27.0%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:256;3:72;4:30;5:13;6:6;7:1} | themes=76 | dates=58
promote,height_drop & NOT unopened,378,109,0.2884,56/182=30.8%,53/196=27.0%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:256;3:72;4:30;5:13;6:6;7:1} | themes=76 | dates=58
promote,NOT height_new_high & is_sub_high,407,117,0.2875,60/183=32.8%,57/224=25.4%,yizi_today=14.7% | yizi_next_all=6.4% | height{2:261;3:99;4:32;5:13;6:1;7:1} | themes=73 | dates=105
promote,NOT leader_absent & NOT one_price_today & NOT is_fanbao,1261,362,0.2871,219/687=31.9%,143/574=24.9%,yizi_today=0.0% | yizi_next_all=3.2% | height{2:844;3:211;4:108;5:46;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=115 | dates=121
promote,is_sub_high,408,117,0.2868,60/184=32.6%,57/224=25.4%,yizi_today=15.0% | yizi_next_all=6.4% | height{2:261;3:99;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,href1,408,117,0.2868,60/184=32.6%,57/224=25.4%,yizi_today=15.0% | yizi_next_all=6.4% | height{2:261;3:99;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,NOT is_new_high & is_sub_high,408,117,0.2868,60/184=32.6%,57/224=25.4%,yizi_today=15.0% | yizi_next_all=6.4% | height{2:261;3:99;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,NOT is_new_high & href_le1,408,117,0.2868,60/184=32.6%,57/224=25.4%,yizi_today=15.0% | yizi_next_all=6.4% | height{2:261;3:99;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,is_sub_high & href_le1,408,117,0.2868,60/184=32.6%,57/224=25.4%,yizi_today=15.0% | yizi_next_all=6.4% | height{2:261;3:99;4:33;5:13;6:1;7:1} | themes=73 | dates=106
promote,same_theme_broken & NOT is_new_high,143,41,0.2867,24/60=40.0%,17/83=20.5%,yizi_today=15.4% | yizi_next_all=8.4% | height{2:116;3:21;4:5;5:1} | themes=25 | dates=57
promote,NOT leader_absent & opened & NOT is_fanbao,879,252,0.2867,157/493=31.8%,95/386=24.6%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:556;3:173;4:75;5:34;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=100 | dates=121
promote,NOT is_sub_high & opened,1288,368,0.2857,217/704=30.8%,151/584=25.9%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:842;3:238;4:110;5:47;6:26;7:12;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=121 | dates=200
promote,NOT is_sub_high & NOT unopened,1288,368,0.2857,217/704=30.8%,151/584=25.9%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:842;3:238;4:110;5:47;6:26;7:12;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=121 | dates=200
promote,theme_alive_own & is_sub_high,336,96,0.2857,52/155=33.5%,44/181=24.3%,yizi_today=15.2% | yizi_next_all=6.8% | height{2:213;3:83;4:28;5:10;6:1;7:1} | themes=54 | dates=99
promote,NOT is_new_high & theme_alive_own & href_le1,336,96,0.2857,52/155=33.5%,44/181=24.3%,yizi_today=15.2% | yizi_next_all=6.8% | height{2:213;3:83;4:28;5:10;6:1;7:1} | themes=54 | dates=99
promote,height_drop & NOT one_price_today,575,164,0.2852,88/278=31.7%,76/297=25.6%,yizi_today=0.0% | yizi_next_all=4.0% | height{2:405;3:104;4:40;5:18;6:7;7:1} | themes=91 | dates=58
promote,same_theme_broken & NOT boards_ge5,158,45,0.2848,25/66=37.9%,20/92=21.7%,yizi_today=15.2% | yizi_next_all=7.0% | height{2:116;3:30;4:12} | themes=26 | dates=60
promote,NOT is_sub_high & NOT one_price_today,1878,534,0.2843,311/997=31.2%,223/881=25.3%,yizi_today=0.0% | yizi_next_all=3.5% | height{2:1295;3:306;4:153;5:61;6:32;7:15;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=137 | dates=205
promote,NOT one_price_today & NOT theme_alive_own & href_le1,95,27,0.2842,12/45=26.7%,15/50=30.0%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:42;3:26;4:11;5:6;6:3;7:2;8:3;9:1;18:1} | themes=50 | dates=62
promote,leader_absent & NOT is_new_high & NOT theme_alive_own,169,48,0.2840,24/86=27.9%,24/83=28.9%,yizi_today=16.0% | yizi_next_all=6.5% | height{2:135;3:27;4:5;5:2} | themes=83 | dates=75
promote,NOT leader_baoliang & NOT one_price_today,1250,355,0.2840,201/595=33.8%,154/655=23.5%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:878;3:192;4:95;5:41;6:22;7:11;8:7;9:1;10:1;12:1;13:1} | themes=119 | dates=105
promote,NOT leader_absent & NOT one_price_today & theme_alive_own,1099,312,0.2839,180/570=31.6%,132/529=25.0%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:737;3:180;4:99;5:40;6:20;7:13;8:7;11:1;12:1;13:1} | themes=86 | dates=121
promote,NOT leader_baoliang & opened,836,237,0.2835,140/414=33.8%,97/422=23.0%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
promote,NOT leader_baoliang & NOT unopened,836,237,0.2835,140/414=33.8%,97/422=23.0%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
promote,NOT theme_alive & opened,1003,284,0.2832,184/629=29.3%,100/374=26.7%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:626;3:209;4:87;5:34;6:22;7:13;8:7;9:1;11:1;12:1;13:1;18:1} | themes=109 | dates=135
promote,NOT theme_alive & NOT unopened,1003,284,0.2832,184/629=29.3%,100/374=26.7%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:626;3:209;4:87;5:34;6:22;7:13;8:7;9:1;11:1;12:1;13:1;18:1} | themes=109 | dates=135
promote,NOT leader_absent & NOT one_price_today & NOT opened,403,114,0.2829,62/195=31.8%,52/208=25.0%,yizi_today=0.0% | yizi_next_all=5.0% | height{2:304;3:41;4:34;5:13;6:5;7:3;8:3} | themes=85 | dates=114
promote,NOT height_drop & same_theme_broken,99,28,0.2828,19/45=42.2%,9/54=16.7%,yizi_today=19.2% | yizi_next_all=8.1% | height{2:68;3:21;4:7;5:3} | themes=22 | dates=36
promote,leader_baoliang & same_theme_broken,92,26,0.2826,12/44=27.3%,14/48=29.2%,yizi_today=19.6% | yizi_next_all=7.6% | height{2:62;3:20;4:6;5:3;10:1} | themes=24 | dates=38
promote,prev_leader_baoliang & same_theme_broken,92,26,0.2826,16/45=35.6%,10/47=21.3%,yizi_today=17.4% | yizi_next_all=8.7% | height{2:64;3:18;4:8;5:2} | themes=21 | dates=34
promote,is_sub_high & NOT boards_ge5,393,111,0.2824,55/172=32.0%,56/221=25.3%,yizi_today=14.5% | yizi_next_all=6.4% | height{2:261;3:99;4:33} | themes=70 | dates=93
promote,NOT is_new_high & NOT boards_ge5 & href_le1,393,111,0.2824,55/172=32.0%,56/221=25.3%,yizi_today=14.5% | yizi_next_all=6.4% | height{2:261;3:99;4:33} | themes=70 | dates=93
promote,NOT theme_alive_own & NOT boards_ge5 & opened,241,68,0.2822,42/129=32.6%,26/112=23.2%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14} | themes=96 | dates=143
promote,theme_alive_own & same_theme_broken,156,44,0.2821,25/65=38.5%,19/91=20.9%,yizi_today=16.7% | yizi_next_all=8.3% | height{2:111;3:28;4:12;5:4;10:1} | themes=24 | dates=57
promote,NOT leader_absent & NOT one_price_today,1319,372,0.2820,219/689=31.8%,153/630=24.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
promote,NOT one_price_today & NOT lag0,1319,372,0.2820,219/689=31.8%,153/630=24.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
promote,NOT own_baoliang & same_theme_baoliang,110,31,0.2818,21/59=35.6%,10/51=19.6%,yizi_today=21.8% | yizi_next_all=9.1% | height{2:83;3:18;4:6;5:2;6:1} | themes=26 | dates=54
promote,NOT leader_absent & opened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
promote,NOT leader_absent & NOT unopened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
promote,opened & NOT lag0,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
promote,NOT unopened & NOT lag0,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
promote,NOT leader_absent & NOT one_price_today & opened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
promote,NOT one_price_today & NOT opened & NOT is_fanbao,665,187,0.2812,107/333=32.1%,80/332=24.1%,yizi_today=0.0% | yizi_next_all=5.6% | height{2:500;3:86;4:49;5:18;6:6;7:3;8:3} | themes=104 | dates=195
promote,NOT one_price_today & NOT is_fanbao & href_le1,541,152,0.2810,60/228=26.3%,92/313=29.4%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:230;3:132;4:79;5:41;6:28;7:16;8:9;9:1;10:1;11:1;12:1;13:1;18:1} | themes=79 | dates=175
promote,NOT one_price_today & theme_alive_own & NOT is_fanbao,1746,490,0.2806,283/937=30.2%,207/809=25.6%,yizi_today=0.0% | yizi_next_all=3.8% | height{2:1187;3:298;4:150;5:56;6:30;7:14;8:7;10:1;11:1;12:1;13:1} | themes=103 | dates=207
promote,NOT theme_alive_own & opened & NOT href_le1,196,55,0.2806,36/107=33.6%,19/89=21.3%,yizi_today=0.0% | yizi_next_all=1.0% | height{2:149;3:36;4:6;5:5} | themes=89 | dates=120
promote,is_sub_high & is_mid_2_3,360,101,0.2806,49/151=32.5%,52/209=24.9%,yizi_today=13.9% | yizi_next_all=6.1% | height{2:261;3:99} | themes=70 | dates=71
promote,NOT one_price_today & NOT opened,700,196,0.2800,107/334=32.0%,89/366=24.3%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:90;4:51;5:19;6:6;7:3;8:3} | themes=105 | dates=199
promote,NOT one_price_today & unopened,700,196,0.2800,107/334=32.0%,89/366=24.3%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:90;4:51;5:19;6:6;7:3;8:3} | themes=105 | dates=199
promote,NOT one_price_today & href_le1,572,160,0.2797,60/231=26.0%,100/341=29.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:244;3:138;4:88;5:43;6:28;7:16;8:9;9:1;10:1;11:1;12:1;13:1;18:1} | themes=79 | dates=178
promote,NOT leader_absent & theme_alive_own & opened,758,212,0.2797,125/404=30.9%,87/354=24.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:480;3:146;4:68;5:29;6:16;7:11;8:5;11:1;12:1;13:1} | themes=74 | dates=121
promote,NOT same_theme_broken & is_sub_high,365,102,0.2795,57/174=32.8%,45/191=23.6%,yizi_today=15.9% | yizi_next_all=6.0% | height{2:233;3:85;4:32;5:13;6:1;7:1} | themes=73 | dates=103
promote,NOT theme_alive_own & opened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
promote,NOT theme_alive_own & NOT unopened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
promote,NOT one_price_today & NOT theme_alive_own & opened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
promote,NOT theme_alive_own & opened & NOT is_fanbao,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
promote,NOT one_price_today & href_le1 & theme_alive_own,477,133,0.2788,48/186=25.8%,85/291=29.2%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:202;3:112;4:77;5:37;6:25;7:14;8:6;10:1;11:1;12:1;13:1} | themes=59 | dates=164
promote,NOT one_price_today & theme_alive_own & href_le1,477,133,0.2788,48/186=25.8%,85/291=29.2%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:202;3:112;4:77;5:37;6:25;7:14;8:6;10:1;11:1;12:1;13:1} | themes=59 | dates=164
promote,NOT leader_absent & opened & NOT href_le1,792,220,0.2778,139/437=31.8%,81/355=22.8%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:577;3:145;4:49;5:16;6:4;8:1} | themes=98 | dates=118
promote,NOT prev_leader_baoliang & is_fanbao,54,15,0.2778,1/2=50.0%,14/52=26.9%,yizi_today=9.3% | yizi_next_all=1.9% | height{2:38;3:12;4:3;5:1} | themes=21 | dates=32
promote,NOT one_price_today & NOT is_fanbao,2125,590,0.2776,341/1134=30.1%,249/991=25.1%,yizi_today=0.0% | yizi_next_all=3.5% | height{2:1452;3:370;4:170;5:68;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
promote,opened & NOT is_fanbao & NOT href_le1,1081,300,0.2775,192/630=30.5%,108/451=23.9%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:798;3:192;4:67;5:19;6:4;8:1} | themes=117 | dates=177
promote,NOT same_theme_broken & NOT one_price_today,2088,579,0.2773,325/1085=30.0%,254/1003=25.3%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1426;3:360;4:170;5:67;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
promote,theme_alive_own & NOT one_price_today,1846,511,0.2768,283/942=30.0%,228/904=25.2%,yizi_today=0.0% | yizi_next_all=3.6% | height{2:1261;3:313;4:159;5:58;6:30;7:14;8:7;10:1;11:1;12:1;13:1} | themes=103 | dates=207
promote,NOT one_price_today & NOT is_fanbao & NOT href_le1,1584,438,0.2765,281/906=31.0%,157/678=23.2%,yizi_today=0.0% | yizi_next_all=3.6% | height{2:1222;3:238;4:91;5:27;6:5;8:1} | themes=132 | dates=177
promote,NOT one_price_today & NOT opened & NOT own_baoliang,648,179,0.2762,98/303=32.3%,81/345=23.5%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:65;4:33;5:14;6:4;7:2;8:2} | themes=97 | dates=198
promote,NOT one_price_today & theme_alive_own & NOT href_le1,1369,378,0.2761,235/756=31.1%,143/613=23.3%,yizi_today=0.0% | yizi_next_all=3.7% | height{2:1059;3:201;4:82;5:21;6:5;8:1} | themes=93 | dates=177
promote,leader_absent & NOT one_price_today & NOT opened,297,82,0.2761,45/139=32.4%,37/158=23.4%,yizi_today=0.0% | yizi_next_all=6.1% | height{2:224;3:49;4:17;5:6;6:1} | themes=71 | dates=85
promote,NOT leader_absent & NOT one_price_today & NOT is_new_high,1217,336,0.2761,203/644=31.5%,133/573=23.2%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:214;4:83;5:26;6:5;7:1;8:1} | themes=115 | dates=121
promote,NOT is_fanbao & opened,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
promote,NOT is_fanbao & NOT unopened,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
promote,NOT one_price_today & opened & NOT is_fanbao,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
promote,NOT leader_absent & NOT is_new_high & opened,838,231,0.2757,143/456=31.4%,88/382=23.0%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:583;3:173;4:58;5:18;6:4;7:1;8:1} | themes=99 | dates=121
promote,prev_leader_baoliang & NOT one_price_today,1042,287,0.2754,151/523=28.9%,136/519=26.2%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:745;3:157;4:82;5:31;6:13;7:7;8:4;9:1;12:1;18:1} | themes=111 | dates=101
promote,theme_alive_own & opened & NOT is_fanbao,1202,331,0.2754,189/659=28.7%,142/543=26.2%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:777;3:232;4:107;5:40;6:25;7:12;8:5;10:1;11:1;12:1;13:1} | themes=91 | dates=206
promote,NOT leader_absent & NOT boards_ge5 & opened,840,231,0.2750,139/444=31.3%,92/396=23.2%,yizi_today=0.0% | yizi_next_all=2.0% | height{2:583;3:177;4:80} | themes=100 | dates=121
promote,NOT leader_absent & NOT one_price_today & NOT href_le1,1153,317,0.2749,194/616=31.5%,123/537=22.9%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:877;3:179;4:69;5:22;6:5;8:1} | themes=113 | dates=118
promote,NOT one_price_today,2225,611,0.2746,341/1139=29.9%,270/1086=24.9%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1526;3:385;4:179;5:70;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
promote,opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
promote,NOT unopened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
promote,NOT one_price_today & opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
promote,NOT is_new_high & opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
promote,prev_leader_baoliang & opened,707,194,0.2744,102/360=28.3%,92/347=26.5%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
promote,prev_leader_baoliang & NOT unopened,707,194,0.2744,102/360=28.3%,92/347=26.5%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
promote,is_sub_high & own_baoliang,62,17,0.2742,12/40=30.0%,5/22=22.7%,yizi_today=12.9% | yizi_next_all=8.1% | height{3:42;4:13;5:6;6:1} | themes=30 | dates=45
promote,NOT is_new_high & own_baoliang & href_le1,62,17,0.2742,12/40=30.0%,5/22=22.7%,yizi_today=12.9% | yizi_next_all=8.1% | height{3:42;4:13;5:6;6:1} | themes=30 | dates=45
promote,NOT theme_alive_own & opened & href_le1,62,17,0.2742,9/35=25.7%,8/27=29.6%,yizi_today=0.0% | yizi_next_all=0.0% | height{2:26;3:16;4:8;5:5;6:2;7:1;8:2;9:1;18:1} | themes=40 | dates=45
promote,NOT same_theme_broken & opened,1427,391,0.2740,222/766=29.0%,169/661=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:930;3:274;4:122;5:48;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
