definition,filters,n,wins,rate,half1,half2,notes
promote,one_price_today & boards_ge5 & own_baoliang,22,16,0.7273,14/17=82.4%,2/5=40.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=81% | checkpoint_n<30 | yizi_today=100.0% | yizi_next_all=59.1% | height{5:5;6:4;7:2;8:2;9:4;10:1;13:1;14:1;16:1;17:1} | themes=8 | dates=20
promote,NOT leader_absent & one_price_today & NOT own_baoliang,287,208,0.7247,135/189=71.4%,73/98=74.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=40.1% | height{2:146;3:80;4:24;5:16;6:7;7:6;8:3;10:1;11:1;12:1;14:1;15:1} | themes=55 | dates=109
promote,NOT leader_absent & one_price_today,319,231,0.7241,152/211=72.0%,79/108=73.1%,yizi_today=100%_not_buyable | wins_are_yizi_next=57% | yizi_today=100.0% | yizi_next_all=41.4% | height{2:146;3:91;4:28;5:20;6:9;7:8;8:5;9:4;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=55 | dates=110
promote,one_price_today & NOT lag0,319,231,0.7241,152/211=72.0%,79/108=73.1%,yizi_today=100%_not_buyable | wins_are_yizi_next=57% | yizi_today=100.0% | yizi_next_all=41.4% | height{2:146;3:91;4:28;5:20;6:9;7:8;8:5;9:4;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=55 | dates=110
promote,NOT leader_absent & one_price_today & NOT opened,319,231,0.7241,152/211=72.0%,79/108=73.1%,yizi_today=100%_not_buyable | wins_are_yizi_next=57% | yizi_today=100.0% | yizi_next_all=41.4% | height{2:146;3:91;4:28;5:20;6:9;7:8;8:5;9:4;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=55 | dates=110
promote,one_price_today & boards_ge5 & href_le1,50,36,0.7200,25/33=75.8%,11/17=64.7%,yizi_today=100%_not_buyable | wins_are_yizi_next=67% | yizi_today=100.0% | yizi_next_all=48.0% | height{5:18;6:9;7:7;8:3;9:2;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=17 | dates=49
promote,leader_absent & one_price_today & own_baoliang,25,18,0.7200,11/14=78.6%,7/11=63.6%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | checkpoint_n<30 | yizi_today=100.0% | yizi_next_all=40.0% | height{3:13;4:7;5:1;6:2;10:1;14:1} | themes=10 | dates=22
promote,one_price_today & own_baoliang,57,41,0.7193,28/36=77.8%,13/21=61.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=66% | yizi_today=100.0% | yizi_next_all=47.4% | height{3:24;4:11;5:5;6:4;7:2;8:2;9:4;10:1;13:1;14:1;16:1;17:1} | themes=16 | dates=49
promote,one_price_today & NOT opened & own_baoliang,57,41,0.7193,28/36=77.8%,13/21=61.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=66% | yizi_today=100.0% | yizi_next_all=47.4% | height{3:24;4:11;5:5;6:4;7:2;8:2;9:4;10:1;13:1;14:1;16:1;17:1} | themes=16 | dates=49
promote,NOT leader_absent & one_price_today & own_baoliang,32,23,0.7188,17/22=77.3%,6/10=60.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=74% | yizi_today=100.0% | yizi_next_all=53.1% | height{3:11;4:4;5:4;6:2;7:2;8:2;9:4;13:1;16:1;17:1} | themes=13 | dates=27
promote,one_price_today & boards_ge5 & is_new_high,46,33,0.7174,23/30=76.7%,10/16=62.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=70% | yizi_today=100.0% | yizi_next_all=50.0% | height{5:14;6:9;7:7;8:3;9:2;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=15 | dates=46
promote,boards_ge5 & href0 & one_price_today,46,33,0.7174,23/30=76.7%,10/16=62.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=70% | yizi_today=100.0% | yizi_next_all=50.0% | height{5:14;6:9;7:7;8:3;9:2;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=15 | dates=46
promote,one_price_today & is_new_high & boards_ge5,46,33,0.7174,23/30=76.7%,10/16=62.5%,yizi_today=100%_not_buyable | wins_are_yizi_next=70% | yizi_today=100.0% | yizi_next_all=50.0% | height{5:14;6:9;7:7;8:3;9:2;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=15 | dates=46
promote,NOT leader_absent & one_price_today & NOT boards_ge5,265,190,0.7170,123/175=70.3%,67/90=74.4%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=39.6% | height{2:146;3:91;4:28} | themes=54 | dates=105
promote,NOT height_drop & one_price_today,383,274,0.7154,182/255=71.4%,92/128=71.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=39.7% | height{2:179;3:108;4:39;5:21;6:10;7:8;8:5;9:4;10:1;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=57 | dates=134
promote,NOT leader_absent & one_price_today & theme_alive_own,280,200,0.7143,138/193=71.5%,62/87=71.3%,yizi_today=100%_not_buyable | wins_are_yizi_next=57% | yizi_today=100.0% | yizi_next_all=40.7% | height{2:128;3:77;4:25;5:19;6:7;7:7;8:5;9:4;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1} | themes=46 | dates=102
promote,one_price_today & NOT is_fanbao & own_baoliang,56,40,0.7143,28/36=77.8%,12/20=60.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=65% | yizi_today=100.0% | yizi_next_all=46.4% | height{3:24;4:11;5:4;6:4;7:2;8:2;9:4;10:1;13:1;14:1;16:1;17:1} | themes=16 | dates=48
promote,one_price_today & NOT boards_ge5 & own_baoliang,35,25,0.7143,14/19=73.7%,11/16=68.8%,yizi_today=100%_not_buyable | wins_are_yizi_next=56% | yizi_today=100.0% | yizi_next_all=40.0% | height{3:24;4:11} | themes=13 | dates=34
