family,filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
alt_plus,ge3_unopened_tn8+opened,open_up,0,0,,0,0,,0,0,,False
alt_plus,ge3_unopened_tn8+opened,open_flat,0,0,,0,0,,0,0,,False
alt_plus,ge3_unopened_tn8+opened,touch3,0,0,,0,0,,0,0,,False
alt_plus,ge3_unopened_tn8+opened,hold_3d,0,0,,0,0,,0,0,,False
alt_plus,ge3_unopened_tn8+early,maxc3,50,40,0.8000,26,20,0.7692,24,20,0.8333,False
alt_plus,ge3_unopened_tn8+early,hold_close,50,35,0.7000,26,19,0.7308,24,16,0.6667,False
alt_plus,ge3_unopened_tn8+early,hold_flat,50,35,0.7000,26,19,0.7308,24,16,0.6667,False
alt_plus,ge3_unopened_tn8+early,hold_touch3,50,34,0.6800,26,16,0.6154,24,18,0.7500,False
alt_plus,ge3_unopened_tn8+early,open_up,46,20,0.4348,25,12,0.4800,21,8,0.3810,False
alt_plus,ge3_unopened_tn8+early,open_flat,46,25,0.5435,25,14,0.5600,21,11,0.5238,False
alt_plus,ge3_unopened_tn8+early,touch3,46,30,0.6522,25,15,0.6000,21,15,0.7143,False
alt_plus,ge3_unopened_tn8+early,hold_3d,49,28,0.5714,25,14,0.5600,24,14,0.5833,False
alt_plus,ge3_unopened_tn8+not_early,maxc3,17,14,0.8235,6,4,0.6667,11,10,0.9091,False
alt_plus,ge3_unopened_tn8+not_early,hold_close,17,10,0.5882,6,2,0.3333,11,8,0.7273,False
alt_plus,ge3_unopened_tn8+not_early,hold_flat,17,10,0.5882,6,2,0.3333,11,8,0.7273,False
alt_plus,ge3_unopened_tn8+not_early,hold_touch3,17,12,0.7059,6,4,0.6667,11,8,0.7273,False
alt_plus,ge3_unopened_tn8+not_early,open_up,17,6,0.3529,6,2,0.3333,11,4,0.3636,False
alt_plus,ge3_unopened_tn8+not_early,open_flat,17,8,0.4706,6,4,0.6667,11,4,0.3636,False
alt_plus,ge3_unopened_tn8+not_early,touch3,17,12,0.7059,6,4,0.6667,11,8,0.7273,False
alt_plus,ge3_unopened_tn8+not_early,hold_3d,17,11,0.6471,6,4,0.6667,11,7,0.6364,False
alt_plus,ge3_unopened_tn8+suc8,maxc3,36,28,0.7778,16,11,0.6875,20,17,0.8500,False
alt_plus,ge3_unopened_tn8+suc8,hold_close,36,25,0.6944,16,11,0.6875,20,14,0.7000,False
